Ticket ID,Summary,Current Status,Days in Current Status,Date Entered Status,Roadmap
PLD-118,Make Policy Renewable backoffice button,To Do Ideas,0,2026-03-23 14:48:32.386,Developer Experience
PLD-117,Tracking section start and completion in React Front End architecture,Assessing Viability & Value,0,2026-03-23 11:39:38.022,Unassigned
PLD-116,Fully Independent Ephemeral Environments,To Do Ideas,14,2026-03-09 13:47:16.290,Developer Experience
PLD-115,Visualize Rater's DSL tables via Quid UI,Idea Backlog,20,2026-03-03 14:12:03.212,Insurance Product Management
PLD-114,Reactified product application performance,Design/Solution Validation,13,2026-03-10 11:43:21.849,Journey 2.0
PLD-113,Streamlined rater local testing,Design/Solution Validation,14,2026-03-09 15:06:14.910,Developer Experience
PLD-112,Should we and How can we shift left Contract Validation?,Assessing Viability & Value,25,2026-02-27 11:21:12.509,Frontend Architecture
PLD-111,Synchronous Quoting won't scale with external carriers.,Idea Backlog,28,2026-02-23 15:38:57.736,Insurance Product Management
PLD-110,Async quoteset generation,To Do Ideas,29,2026-02-23 08:47:54.388,Insurance Product Management
PLD-108,Smoke test harness for Rater,Idea Backlog,39,2026-02-12 16:35:14.031,Developer Experience
PLD-100,Simulation Runner/Testing,Idea Design & Solutioning,7,2026-03-16 12:58:10.678,Insurance Product Management
PLD-99,Governance & Publishing Workflow,Design/Solution Validation,21,2026-03-02 14:16:28.902,Insurance Product Management
PLD-98,Filter Rules (Hiscox Business),Idea Backlog,34,2026-02-17 18:24:07.543,Insurance Product Management
PLD-96,Quid test harness,Idea Backlog,56,2026-01-26 15:28:00.459,Developer Experience
PLD-95,quid+risk_profiler co-dependency problem (i.e. merge the projects),Idea Backlog,56,2026-01-26 15:27:50.284,Developer Experience
PLD-94,can we use feature flagging for non-insurer-build work,Idea Backlog,56,2026-01-26 15:09:22.920,Developer Experience
PLD-93,DevContainers for consistent app environment locally,Idea Backlog,40,2026-02-12 11:03:16.245,Developer Experience
PLD-92,Inflight questions/sections reordering,Idea Backlog,34,2026-02-18 11:24:42.131,Journey 2.0
PLD-91,Providing just in time questions / sections to FE product application,Design/Solution Validation,14,2026-03-10 11:33:47.871,Journey 2.0
PLD-90,Interrupt product application,Idea Backlog,34,2026-02-18 11:24:47.239,Journey 2.0
PLD-89,Securely resuming product application,Idea Backlog,34,2026-02-18 11:24:43.712,Journey 2.0
PLD-88,Consistent questions / sections ordering / wording for each individual customer,Design/Solution Validation,14,2026-03-10 10:21:23.763,Journey 2.0
PLD-85,How can we harden Quote Retrieval mechanism for Cross-Sell,Idea Backlog,97,2025-12-16 12:39:33.433,Insurance Product Management
PLD-82,"for coco testing, use dockerised chopin master to generate policy to be renewed",Idea Backlog,56,2026-01-26 15:09:26.601,Developer Experience
PLD-81,use dotenv in coco,Idea Backlog,103,2025-12-11 10:47:23.359,Developer Experience
PLD-78,knowledgebase/wiki/shared doc/chatbot for local dev troubleshooting,Idea Backlog,56,2026-01-26 15:09:25.208,Developer Experience
PLD-66,Federated Personalisation Decisioning with Centralised State (SO),Idea Backlog,34,2026-02-18 11:24:48.848,Journey 2.0
PLD-63,"How can we gain a complete, end-to-end view of the multi-product customer journey?",Idea Backlog,201,2025-09-04 10:50:10.997,Sales Opportunity Framework
PLD-59,Can we have an unique sales opportunity id for the same customer until the sale is finalised,Idea Backlog,210,2025-08-26 09:16:43.389,Journey 2.0
PLD-58,Can a customer come back and resume the journey from where they left off?,Idea Backlog,210,2025-08-26 08:46:45.881,Journey 2.0
PLD-57,"Can we create a single, seamless customer journey for customers purchasing multiple products?",Idea Backlog,187,2025-09-17 13:07:17.730,Journey 2.0
PLD-56,How can we ensure that Models and Questionnaires are compatible?,Idea Design & Solutioning,1,2026-03-23 10:33:14.806,Insurance Product Management
PLD-55,Seamless switching between verticals,Idea Backlog,217,2025-08-19 10:48:46.861,Journey 2.0
PLD-54,Tailor the first question based on a data model,Idea Backlog,217,2025-08-19 10:45:43.104,Journey 2.0
PLD-52,Personalise copy on page rendering,Idea Backlog,217,2025-08-19 10:44:27.186,Journey 2.0
PLD-49,can we inject an interstitial page in between questionnaire questions by adding additional content (interstitial) in Q2Q at realtime,Idea Backlog,232,2025-08-04 10:45:36.709,Journey 2.0
PLD-48,can we inject an interstitial page in between questionnaire questions by breaking Q2Q in half (in realtime) insert a page and resume Q2Q,Idea Backlog,232,2025-08-04 10:45:32.540,Journey 2.0
PLD-47,Can we achieve consisency of sessionization between Amplitude and Looker?,Idea Backlog,234,2025-08-01 14:49:20.019,Sales Opportunity Framework
PLD-46,Tracking across multiple journeys?,Idea Backlog,34,2026-02-18 11:25:10.272,Sales Opportunity Framework
PLD-45,How can analysts interpret customer paths through dynamic and multi-product opportunities?,Idea Backlog,234,2025-08-01 14:14:31.515,Sales Opportunity Framework
PLD-44,What data can we provide to a decision making service for the next step?,Idea Backlog,234,2025-08-01 14:09:51.849,Sales Opportunity Framework
PLD-42,Can we centralise customer personalisation logic and decision,Idea Backlog,241,2025-07-25 15:45:29.302,Journey 2.0
PLD-41,Can we divert the journey with an interstitial page using customer's realtime interactions and recent events?,Idea Backlog,187,2025-09-17 12:44:23.397,Journey 2.0
PLD-40,Journey Orchestration,Idea Backlog,244,2025-07-23 09:42:29.433,Journey 2.0
PLD-23,Pushing Q2Q journey onto CTM,Idea Backlog,218,2025-08-18 10:02:24.742,Frontend Architecture
PLD-22,Add React to pages QCP to Purchase,Idea Backlog,294,2025-06-03 09:13:53.131,Frontend Architecture
PLD-11,Reduce Rater CI time,Idea Backlog,103,2025-12-11 10:47:27.229,Developer Experience
PLD-9,Platform Investment Case: Coverage diagnosis,Idea Backlog,218,2025-08-18 10:02:19.849,Frontend Architecture
PLD-8,Platform Investment Case: Reactify post-quote pages,Idea Backlog,218,2025-08-18 10:02:11.150,Frontend Architecture
PLD-4,Sales Opportunity Data Framework,Idea Backlog,312,2025-05-15 14:18:20.066,Sales Opportunity Framework
DP-1192,Show all Employee questions on one screen,To Do Ideas,0,2026-03-24 09:49:58.122,UK Buy
DP-1191,Provide extra clarity on Risk Address screen for Sole Traders,To Do Ideas,0,2026-03-24 09:44:49.223,UK Buy
DP-1190,Apply Cap n Collar approach at Manual Renewal,Idea Backlog,0,2026-03-23 15:28:06.198,UK IP Ecosystems Dev
DP-1189,[Home page] Closed widget UI/UX iterations for brand balance,Idea Backlog,0,2026-03-23 12:32:33.857,US Research Brand & Experiments
DP-1188,Intent-driven entry points on landing pages,Idea Backlog,0,2026-03-23 12:13:22.261,US Research Brand & Experiments
DP-1187,Re-run the indicative price intervention for low intent customers,Ready for WSJF,0,2026-03-23 11:58:02.269,UK Buy
DP-1186,Topic based quick replies for deeper conversations,Idea Backlog,3,2026-03-20 19:22:13.118,US Research Ins Advisor
DP-1185,Multi-partner RFQs referred offline,To Do Ideas,3,2026-03-20 13:34:49.508,UK IP Offering
DP-1184,Validation for disproportionate PI risk,To Do Ideas,3,2026-03-20 13:33:35.402,UK IP Offering
DP-1183,Hide cover toggles for circumstance referrals,To Do Ideas,3,2026-03-20 13:31:24.884,UK IP Offering
DP-1182,Dynamic cover toggles (referral -> price),To Do Ideas,3,2026-03-20 13:30:03.656,UK IP Offering
DP-1181,Change cover toggles to ones that will make a difference,To Do Ideas,3,2026-03-20 13:29:12.134,UK IP Offering
DP-1180,Stop customers running many pointless RFQs,To Do Ideas,3,2026-03-20 13:28:42.285,UK IP Offering
DP-1179,Give info about next best action,To Do Ideas,3,2026-03-20 13:27:42.144,UK IP Offering
DP-1178,Zero-Click to Quote via Business Identifier & Third-Party Data Enrichment,Idea Backlog,3,2026-03-20 13:16:27.077,US Research Brand & Experiments
DP-1176, Data Analysis --Open Quote Behavior in Agent Portal,Assessing Viability & Value,5,2026-03-19 03:28:39.106,US Partners
DP-1175,COI Servicing for Coterie,To Do Ideas,5,2026-03-18 16:18:31.055,US Support & Growth
DP-1174,Update insurer logos on the 'no quotes' page,To Do Ideas,5,2026-03-18 14:03:21.213,UK IP Offering
DP-1173,Manage My Risk Endorsement GBB view,Assessing Viability & Value,4,2026-03-19 17:04:57.759,US IP Offering
DP-1172,Fallback quotes on QCP for lower limits when referred,Assessing Viability & Value,5,2026-03-18 12:09:34.812,UK IP Offering
DP-1171,Shell Policies - Phase 2 Discovery,Idea Backlog,7,2026-03-17 09:23:49.839,UK IP Ecosystems Dev
DP-1170,Agent Referral Rescue Analysis,Idea Backlog,7,2026-03-16 22:03:18.977,US Partners
DP-1169,PL and BOP Joint Quote Analysis,Idea Backlog,7,2026-03-16 21:23:46.247,US Partners
DP-1168,Trade Selection Support Pills & HITL Integration,Ready for WSJF,7,2026-03-17 08:59:20.655,UK Research
DP-1167,Two new Landlord Partners - WhiteLabel with 10% Discounts,Idea Backlog,7,2026-03-16 16:17:15.977,UK IP Ecosystems Dev
DP-1166,Add Trade Selector Descriptions To Primary Trade for Top Trades ,Assessing Viability & Value,7,2026-03-17 08:59:17.001,UK Research
DP-1165,Retail & Shop Owner Indicative Pricing via ChatGPT,To Do Ideas,7,2026-03-16 15:02:26.301,UK Research
DP-1164,Landlord Indicative Pricing ChatGPT,Assessing Viability & Value,7,2026-03-17 08:59:08.633,UK Research
DP-1163,Coverage Diagnosis via ChatGPT Integration,Design/Solution Validation,6,2026-03-18 09:22:33.671,UK Research
DP-1161,Manage My Risk- Endorsement Upsell,Assessing Viability & Value,4,2026-03-19 17:04:55.483,US IP Offering
DP-1158,Voice-Led Quote Initiation (Alexa/Google Assistant),Idea Backlog,11,2026-03-12 12:44:35.187,US IP Offering
DP-1157,Redesigning the summary page (edit feature / comprehension),Idea Backlog,12,2026-03-12 09:40:25.095,UK Buy
DP-1156,Add definitions to the trade selector for certain trades (insurer signed off),Idea Backlog,12,2026-03-12 09:33:21.236,UK Research
DP-1155,🇬🇧 Introduce signposting for Temporary + Subcontractor questions on Business Q2Q in order to increase form progression and accuracy of employee disclosure,Idea Backlog,12,2026-03-11 14:16:57.410,Customer Experience
DP-1154,🇬🇧 Introduce signposting for secondary trades on Business Q2Q Page 1 in order to reduce drop off,Idea Backlog,12,2026-03-11 14:03:33.013,Customer Experience
DP-1153,RLI Integration for BOP Panel,Idea Backlog,12,2026-03-11 13:34:23.851,US IP Offering
DP-1152,High premium customers convert better with CBD team than Core offline,Design/Solution Validation,12,2026-03-11 17:24:56.144,UK IP Offering
DP-1151,Shortened GL Journey Phase 4: Universal Q2Q Format & UX Overhaul,Assessing Viability & Value,13,2026-03-10 17:00:58.974,US Buy
DP-1150,Shortened GL Journey Phase 3: Ineligible Ops Consolidation A/B Test,Idea Design & Solutioning,13,2026-03-10 17:00:57.212,US Buy
DP-1149,Rerating Analysis - month of June data,To Do Ideas,13,2026-03-10 13:33:45.809,UK IP Ecosystems Dev
DP-1148,"NB Filter Rules (Custom at Rerate, from New New Biz)",To Do Ideas,14,2026-03-10 10:21:12.531,UK IP Ecosystems Dev
DP-1146,IA chat allows visitor to ask questions about customer reviews ,Idea Backlog,14,2026-03-09 20:25:59.665,US Research Ins Advisor
DP-1145,Ecos Customer Landing Experience,Idea Backlog,14,2026-03-09 17:07:42.044,US Partners
DP-1144,Standardise carrier profiles in the QDS in order to reduce research-driven exits and increase QCP-to-Legal conversion,Idea Backlog,14,2026-03-09 15:56:19.579,Customer Experience
DP-1143,Replacing Zendesk w/ IA HITL Post QCP - Purchase ,Idea Design & Solutioning,12,2026-03-11 15:06:28.541,US Research Ins Advisor
DP-1142,Roll out PCP onto MSM and CTM Business verticals,Idea Design & Solutioning,14,2026-03-09 15:09:41.332,UK Research
DP-1141,Rethink Business Insurance PPC landing page (mobile vs desktop gap 2.38%),Idea Backlog,14,2026-03-09 13:11:50.591,US Research Brand & Experiments
DP-1140,Add Coterie API carrier to the Indicative pricing service,Idea Backlog,14,2026-03-09 12:55:28.871,US Research Brand & Experiments
DP-1139,Add an indication of time/effort to complete Q2Q journey,Idea Backlog,15,2026-03-09 10:15:28.069,UK Buy
DP-1138,Hydra intervention on the Welcome page,Idea Backlog,17,2026-03-06 21:10:59.640,US Research Ins Advisor
DP-1136,"Change ""Occurrence/Aggregate Limit"" in order to reduce cognitive load",Idea Backlog,17,2026-03-06 11:49:25.046,US Buy
DP-1134,Introduce trade-specific claim scenarios,Idea Backlog,18,2026-03-05 16:21:12.277,US Research Brand & Experiments
DP-1125,Mapping Help - Get quoted from 91% to >94% before any rerating go-live (Claims Aging inclusive),To Do Ideas,18,2026-03-05 14:36:58.037,UK IP Ecosystems Dev
DP-1124,"Nudge QCP customers to fix PL or PI referral, when possible",Design/Solution Validation,6,2026-03-18 11:21:33.429,UK IP Offering
DP-1123,IA on QCP - using endorsements to answer policy claim questions,Idea Backlog,19,2026-03-04 21:50:20.837,US Research Ins Advisor
DP-1122,Introduce trade-specific claim scenarios on the Product Recommendation page in order to increase SV:AV (Showcase to Application) rate and reduce funnel drop-off,Idea Backlog,19,2026-03-04 14:23:13.166,Customer Experience
DP-1120,Password requirements prompt,Idea Backlog,19,2026-03-04 11:52:03.160,UK Support & Growth
DP-1119,Password Hints,Idea Backlog,19,2026-03-04 11:49:41.560,UK Support & Growth
DP-1118,Password Validation,Idea Backlog,19,2026-03-04 11:47:08.164,UK Support & Growth
DP-1117,Start a Trade-Selector Quote,Idea Backlog,20,2026-03-04 10:54:14.649,UK Support & Growth
DP-1116,Demand Test Rebrokering in Customer Account,Design/Solution Validation,20,2026-03-03 15:21:35.468,US Support & Growth
DP-1115,IA Workflow - trade selection improvements,Idea Backlog,20,2026-03-03 14:26:15.696,US Research Ins Advisor
DP-1114,SMS Consent Language Optimization,Idea Design & Solutioning,20,2026-03-03 13:17:44.876,US Buy
DP-1113,Multi-quote QCP for lower limits when referred,Assessing Viability & Value,4,2026-03-19 15:21:54.457,UK IP Offering
DP-1112,🇬🇧 Replay key business facts at QCP to influence value perception of the quotes and increase conversion,Idea Backlog,21,2026-03-02 14:58:18.285,Customer Experience
DP-1111,Rerating script (Analysis tool for Zurich) to model 12 months,Idea Backlog,12,2026-03-11 13:43:05.972,UK IP Ecosystems Dev
DP-1110,Rerating Script to evaluate All Panel Members moving to rerating,Idea Backlog,21,2026-03-02 14:26:30.118,UK IP Ecosystems Dev
DP-1109,Upload your contract workflow ,Idea Backlog,21,2026-03-02 12:57:21.591,US Research Ins Advisor
DP-1108,Add the full list of trade option to PCWs,Ready for WSJF,7,2026-03-17 09:30:01.904,UK Research
DP-1107,LLM chat - new ways to present responses ,Idea Backlog,24,2026-02-27 21:37:53.089,US Research Ins Advisor
DP-1106,Personalizing Engagement via Context-Aware Quick Replies  - Powered by LLM,Idea Backlog,24,2026-02-27 20:39:17.226,US Research Ins Advisor
DP-1105,Account Portal Access for Coterie,Idea Design & Solutioning,5,2026-03-18 16:17:40.693,US Support & Growth
DP-1103,Launch the AI trade selector within Q2Q,Ready for WSJF,23,2026-03-01 08:31:44.864,UK Research
DP-1102,Test feefo banner on landlord rather than trustpilot,Idea Backlog,25,2026-02-27 09:12:47.808,UK Buy
DP-1100,Highlight Pocket Proof from the Account,Idea Backlog,25,2026-02-26 16:15:38.955,US Support & Growth
DP-1099,Agent Portal Quote Eligibility Checker,Idea Design & Solutioning,21,2026-03-03 11:23:45.044,US Partners
DP-1098,Quick to Rebroke: Cover benefits prompts,Idea Backlog,26,2026-02-25 21:57:34.108,UK Support & Growth
DP-1097,Quick to Rebroke: Support Prompts,Idea Backlog,26,2026-02-25 21:54:27.551,UK Support & Growth
DP-1096,Rebroke: Targeted Cohort Invite to Rebroke Online,To Do Ideas,26,2026-02-25 21:37:14.199,UK Support & Growth
DP-1094,ID complex customers test,To Do Ideas,26,2026-02-25 16:52:30.257,UK IP Offering
DP-1093,Update Meta Titles for Insurance Application pages,Idea Backlog,26,2026-02-25 15:13:53.573,US Buy
DP-1092,BOP Service Fee Implementation,Idea Backlog,26,2026-02-25 14:59:12.739,US IP Offering
DP-1091,Landlord Wildcard PPC landing page,Assessing Viability & Value,25,2026-02-26 15:44:24.066,UK Research
DP-1090,Filter valuable opportunities by referred premium and quoted premium,Idea Backlog,12,2026-03-11 17:24:36.111,UK IP Offering
DP-1089,PARENT IDEA: PRIORITISE HIGH PREMIUM CUSTOMERS,Idea Backlog,27,2026-02-25 07:42:32.496,UK IP Offering
DP-1087,Redesign Upsell in the online Account,Idea Backlog,27,2026-02-24 12:32:19.210,UK Support & Growth
DP-1086,MTA Section within Customer Account (CA),Idea Backlog,27,2026-02-24 12:30:50.738,UK Support & Growth
DP-1084,Landlord PCP Main selection,Idea Backlog,70,2026-01-12 14:00:36.844,UK Buy
DP-1083,Remuneration cap (%) to de-risk exceeding caps from addition of £35 fee,Idea Backlog,28,2026-02-24 10:03:19.554,UK IP Ecosystems Dev
DP-1082,Magic link for Auth journeys,Idea Backlog,28,2026-02-23 16:30:43.821,UK Support & Growth
DP-1081,Authenticated journey transitions ,Idea Backlog,28,2026-02-23 16:23:39.169,UK Support & Growth
DP-1080,COI Preview A/B Test HBWY only,Assessing Viability & Value,19,2026-03-04 14:11:43.258,US IP Offering
DP-1079,Business Q2Q page 1 hierarchy.  ,Design/Solution Validation,21,2026-03-02 14:52:10.054,UK Research
DP-1077,2M / 4M Limits for Coterie BOP,To Do Ideas,20,2026-03-03 18:47:53.096,US IP Offering
DP-1070,Coterie Quick GL Quote on Landing page,Idea Backlog,33,2026-02-18 14:06:14.114,US IP Offering
DP-1064,Quote Playback Summary / proposal ,Assessing Viability & Value,33,2026-02-18 15:10:00.892,US IP Offering
DP-1062,"""Email COI to Client"" Button (Sends Directly to customer & agent)",Idea Backlog,36,2026-02-15 23:43:01.895,US Partners
DP-1061,Sharable COI Self-Servicing Links,Idea Backlog,36,2026-02-15 22:24:32.522,US Partners
DP-1060,Progress Persistence & Lead Recovery (Magic Link),Idea Backlog,38,2026-02-13 22:10:37.482,US Buy
DP-1059,Email Marketing Consent Language Optimization,Design/Solution Validation,28,2026-02-23 17:30:29.834,US Buy
DP-1057,Identify customers that are able to change their choices in order to get a quote (QCP),To Do Ideas,38,2026-02-13 17:07:58.244,UK IP Offering
DP-1056,Ecos Landing Page Pricing Widget,Idea Design & Solutioning,36,2026-02-16 10:17:50.452,US Partners
DP-1054,Enable Sale of Off Platform Carriers in the Agent Portal and D2C links: Scope and Sizing ,Idea Backlog,19,2026-03-04 13:45:52.267,US Partners
DP-1053,PARENT IDEA: Higher-premium unconverted SMEs,To Do Ideas,39,2026-02-13 10:55:42.184,UK IP Offering
DP-1052,Combine the primary and the secondary trade selector onto the same section,Idea Backlog,39,2026-02-12 16:57:32.502,UK Buy
DP-1051,Expanding our Pre-Pop API to additional Eco Partners,Idea Backlog,21,2026-03-02 14:17:18.349,US Partners
DP-1049,AI Trade Profiler for Insurance,Idea Backlog,39,2026-02-12 12:47:08.234,US IP Offering
DP-1048,Durell Broker Opportunity - Q2 2026 Discovery ,Idea Backlog,40,2026-02-12 08:38:03.014,UK IP Ecosystems Dev
DP-1047,Offer Quote Data through Snowflake Data Share with Insurers,Idea Backlog,40,2026-02-12 08:36:49.913,UK IP Ecosystems Dev
DP-1046,Email Bounces,Idea Backlog,929,2023-09-07 09:18:30.287,UK Support & Growth
DP-1044,Opportunity scoring for low quoting shop,Idea Backlog,12,2026-03-11 17:23:07.603,UK IP Offering
DP-1041,Zero input quote ,Idea Backlog,41,2026-02-11 11:32:26.434,US IP Offering
DP-1039,PARENT IDEA: Pick and Place,Idea Backlog,41,2026-02-11 09:45:56.037,UK IP Offering
DP-1037,Correlate number of quotes with sales,Idea Backlog,20,2026-03-04 10:45:48.254,UK IP Offering
DP-1035,test with everythihg,Idea Backlog,42,2026-02-09 15:02:16.357,UK IP Offering
DP-1034,test with roadmap,Idea Backlog,42,2026-02-09 15:00:32.060,UK IP Offering
DP-1033,test with problem to address,Idea Backlog,42,2026-02-09 14:52:37.411,Unassigned
DP-1032,Show stop page not uncompetitive quote,Idea Backlog,12,2026-03-11 17:23:58.686,UK IP Offering
DP-1030,Add contextual information on the quote comparison page to help SMEs understand the risk factors driving different prices,Idea Backlog,43,2026-02-09 11:34:39.128,Customer Experience
DP-1029,🇬🇧 Introduce and AI-powered comparison context on the QCP to reduce choice paralysis and improve quote to sale conversion,Idea Backlog,43,2026-02-09 11:31:14.323,UK Buy
DP-1028,🇬🇧Experiment: Introduce Claims Trust Data (Speed & Volume) on Quote Page to improve UV: Sale,Idea Backlog,43,2026-02-09 11:25:37.020,Customer Experience
DP-1027,"Introduce ""Renters' Rights Act"" Compliance Transparency Badges in the quote summary in order to increase Quote-to-Buy Conversion",Idea Backlog,43,2026-02-09 11:22:30.376,Customer Experience
DP-1026,🇬🇧 Providing real-time premium driver transparency in the landlord quote journey in order to increase completion rates by [METRIC NEEDED]% and Quote-to-Buy conversion for high-risk segments.,Idea Backlog,43,2026-02-09 11:21:38.780,Customer Experience
DP-1025,"🇬🇧 Replay property risk data on the QCP in order to increase ""value for money"" perception of quotes and increase conversion",Idea Backlog,43,2026-02-09 11:18:50.822,Customer Experience
DP-1024," Introduce Trade-specific peer benchmarking and ""What If"" scenarios on the QCP in order to increase Online Conversion ",Idea Backlog,43,2026-02-09 11:12:28.475,Customer Experience
DP-1023,RESUE ME,Idea Backlog,43,2026-02-09 09:43:54.551,UK Support & Growth
DP-1020,"HBWY BOP (good, better, best) Tiered Quotes ",Idea Backlog,20,2026-03-03 18:47:49.588,US IP Offering
DP-1019,Copy of BOP - Multiple Coterie Quotes on QCP,Design/Solution Validation,46,2026-02-06 11:30:22.313,US IP Offering
DP-1018,Copy of BOP - Multiple Coterie Quotes on QCP,Design/Solution Validation,46,2026-02-06 11:30:06.123,US IP Offering
DP-1017,MFA - Passwordless Authentication,Idea Backlog,46,2026-02-05 21:52:20.156,UK Support & Growth
DP-1014,GL Referral Likelihood: Productionise ,Idea Backlog,46,2026-02-05 11:59:53.551,US Partners
DP-1013,Correlate quote rate and policy sales,Idea Backlog,46,2026-02-05 11:54:35.380,UK IP Offering
DP-1011,Crossbot - Self Servicing Copilot,Idea Backlog,47,2026-02-04 19:13:45.957,US Support & Growth
DP-1010,MTA in Account COI Wizard ,To Do Ideas,24,2026-02-27 17:35:22.586,US Support & Growth
DP-1008,Cancel Anytime Hydra Intervention ,Idea Backlog,47,2026-02-04 14:25:09.464,UK Buy
DP-1007,Some new idea of unsupported cover choice that has one or two referral reasons,Idea Backlog,48,2026-02-04 11:38:33.546,UK IP Offering
DP-1005,Agency: Create Appetite Check API (FirstConnect- 1st use case),Design/Solution Validation,48,2026-02-03 19:21:59.035,US Partners
DP-1004,Travelers.com ToFu capture design proposal ,Idea Backlog,25,2026-02-26 18:48:56.784,US Partners
DP-1003,Intent Test on our Partner Applications,Design/Solution Validation,18,2026-03-05 14:04:06.351,US Partners
DP-1001,Pre-App trade selector iteration - real-time search results display & mini definitions,Idea Backlog,7,2026-03-16 12:47:30.223,US Research Brand & Experiments
DP-998,Human in the loop - schedule a call back/ticket creation,Idea Backlog,49,2026-02-02 15:29:09.635,US Research Ins Advisor
